url,type,status,h1_count,canonical,meta_desc_len,json_ld_types,has_breadcrumbs,word_count,internal_links,external_links,issues
https://obikhod.ru/,home,200,1,,154,"HomeAndConstructionBusiness,Organization,WebSite",False,2139,36,0,"missing canonical|missing JSON-LD @type:LocalBusiness"
https://obikhod.ru/raiony/,district-list,200,1,https://obikhod.ru/raiony/,124,"BreadcrumbList,HomeAndConstructionBusiness,Organization,WebSite",True,142,36,0,""
https://obikhod.ru/kejsy/,case-list,200,1,https://obikhod.ru/kejsy/,128,"BreadcrumbList,HomeAndConstructionBusiness,Organization,WebSite",True,145,36,0,""
https://obikhod.ru/blog/,blog-list,200,1,https://obikhod.ru/blog/,143,"BreadcrumbList,HomeAndConstructionBusiness,Organization,WebSite",True,170,36,0,""
https://obikhod.ru/b2b/,b2b-list,200,1,https://obikhod.ru/b2b/,136,"BreadcrumbList,HomeAndConstructionBusiness,Organization,WebSite",True,243,36,0,""
https://obikhod.ru/avtory/,author-list,200,1,https://obikhod.ru/avtory/,149,"BreadcrumbList,HomeAndConstructionBusiness,Organization,WebSite",True,165,36,0,""
https://obikhod.ru/o-kompanii/,static,200,1,https://obikhod.ru/o-kompanii/,160,"BreadcrumbList,HomeAndConstructionBusiness,Organization,WebSite",True,309,37,0,""
https://obikhod.ru/garantii/,static,200,1,https://obikhod.ru/garantii/,144,"BreadcrumbList,HomeAndConstructionBusiness,Organization,WebSite",True,317,36,0,""
https://obikhod.ru/kak-my-rabotaem/,static,200,1,https://obikhod.ru/kak-my-rabotaem/,146,"BreadcrumbList,HomeAndConstructionBusiness,HowTo,Organization,WebSite",True,340,36,0,""
https://obikhod.ru/demontazh/,pillar,200,1,https://obikhod.ru/demontazh/,146,"BreadcrumbList,FAQPage,HomeAndConstructionBusiness,Organization,Service,WebSite",True,354,36,0,"word_count=354 (target ≥600)"
https://obikhod.ru/vyvoz-musora/,pillar,200,1,https://obikhod.ru/vyvoz-musora/,145,"BreadcrumbList,FAQPage,HomeAndConstructionBusiness,Organization,Service,WebSite",True,357,36,0,"word_count=357 (target ≥600)"
https://obikhod.ru/chistka-krysh/,pillar,200,1,https://obikhod.ru/chistka-krysh/,145,"BreadcrumbList,FAQPage,HomeAndConstructionBusiness,Organization,Service,WebSite",True,362,36,0,"word_count=362 (target ≥600)"
https://obikhod.ru/arboristika/,pillar,200,1,https://obikhod.ru/arboristika/,148,"BreadcrumbList,FAQPage,HomeAndConstructionBusiness,Organization,Service,WebSite",True,370,36,0,"word_count=370 (target ≥600)"
https://obikhod.ru/raiony/pushkino/,district-detail,200,1,https://obikhod.ru/raiony/pushkino/,111,"BreadcrumbList,HomeAndConstructionBusiness,Organization,WebSite",True,208,40,0,""
https://obikhod.ru/raiony/istra/,district-detail,200,1,https://obikhod.ru/raiony/istra/,109,"BreadcrumbList,HomeAndConstructionBusiness,Organization,WebSite",True,204,40,0,""
https://obikhod.ru/raiony/khimki/,district-detail,200,1,https://obikhod.ru/raiony/khimki/,110,"BreadcrumbList,HomeAndConstructionBusiness,Organization,WebSite",True,206,40,0,""
https://obikhod.ru/raiony/mytishchi/,district-detail,200,1,https://obikhod.ru/raiony/mytishchi/,111,"BreadcrumbList,HomeAndConstructionBusiness,Organization,WebSite",True,205,40,0,""
https://obikhod.ru/raiony/krasnogorsk/,district-detail,200,1,https://obikhod.ru/raiony/krasnogorsk/,116,"BreadcrumbList,HomeAndConstructionBusiness,Organization,WebSite",True,208,40,0,""
https://obikhod.ru/raiony/odincovo/,district-detail,200,1,https://obikhod.ru/raiony/odincovo/,112,"BreadcrumbList,HomeAndConstructionBusiness,Organization,WebSite",True,209,40,0,""
https://obikhod.ru/raiony/zhukovsky/,district-detail,200,1,https://obikhod.ru/raiony/zhukovsky/,113,"BreadcrumbList,HomeAndConstructionBusiness,Organization,WebSite",True,205,40,0,""
https://obikhod.ru/raiony/ramenskoye/,district-detail,200,1,https://obikhod.ru/raiony/ramenskoye/,113,"BreadcrumbList,HomeAndConstructionBusiness,Organization,WebSite",True,213,41,0,""
https://obikhod.ru/kejsy/demontazh-dachi-khimki-2026-04/,case-detail,200,1,https://obikhod.ru/kejsy/demontazh-dachi-khimki-2026-04/,123,"BreadcrumbList,CreativeWork,HomeAndConstructionBusiness,Organization,WebSite",True,403,37,0,""
https://obikhod.ru/kejsy/chistka-krysh-uk-mytishchi-2026-02/,case-detail,200,1,https://obikhod.ru/kejsy/chistka-krysh-uk-mytishchi-2026-02/,122,"BreadcrumbList,CreativeWork,HomeAndConstructionBusiness,Organization,WebSite",True,389,37,0,"word_count=389 (target ≥600)"
